Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365768360,"68,26","68,26","67,99","67,99","21,74681602","1478,7430504","67,998140465"
1365768420,"67,99","67,99","67,5","67,5","2,078486","140,79263365","67,738071679"
1365768480,"67,96","67,96","66,71","66,71","4,15828041","278,73000004","67,030111622"
1365768540,"66,6","66,6","65,1","65,1","63,3067373","4121,8911007","65,109833115"
1365768600,"65,1","65,1","64,5","64,5","50,65283597","3294,8367641","65,047429251"
1365768660,"64,1","65,1","64,1",65,"9,77152353","633,51209927","64,832479533"
1365768720,"64,5","65,1","64,5","64,5","66,34776262","4317,6665415","65,076294528"
1365768780,"64,5","64,5",64,64,"25,27","1619,884493","64,1030666"
1365768840,64,64,"63,14",64,"3,7899298","242,3835072","63,954616574"
1365768900,64,64,"62,5","62,5","61,9839981","3904,354706","62,989720343"
1365768960,63,63,"62,5","62,5","27,85937565","1751,1901051","62,858196361"
1365769020,"62,5","62,5",60,"62,49","89,98694331","5565,7552254","61,850697675"
1365769080,"61,94","62,49",61,"61,01","23,455248","1451,7210892","61,893231278"
1365769140,"61,01","61,2","59,98",60,"147,40883624","8923,3163173","60,534473678"
1365769200,60,60,"58,01","58,01","76,3418006","4572,0327143","59,888981899"
1365769260,"58,01","58,01",54,"55,01","171,41665109","9622,642647","56,135985541"
1365769320,"55,01","55,03",55,55,"115,51573298","6354,7216485","55,011741557"
1365769380,55,55,53,53,"73,72309547","4021,5282502","54,549096515"
1365769440,53,54,50,54,"49,07492809","2544,382087","51,846883654"
1365769500,"54,29","54,29",48,"50,1","410,10109074","20849,962293","50,841031062"
1365769560,"50,1","51,12",50,51,"71,56080971","3601,6311646","50,329659197"
1365769620,52,53,52,"52,5","15,25236838","804,94000033","52,774754732"
1365769680,"52,5","52,5",51,"52,49","96,7",4957386,"51,265625646"
1365769740,53,53,50,"51,1","27,91760004","1437,3431143","51,485196159"
1365769800,52,52,"50,2","50,2","43,64850821","2234,5640003","51,194510235"
1365769860,"50,2",51,"50,02","50,02","24,03782419","1205,3149793","50,142432601"
1365769920,"50,03",51,45,50,"680,34252402","33991,004049","49,96160441"
1365769980,"50,01","50,01",50,50,"35,96131773","1798,2254997","50,004438469"
1365770040,"50,01","50,68",50,"50,68","162,09321118","8111,0677384","50,039527747"
1365770100,"50,68",51,"50,68",51,"215,09019193","10937,431183","50,85044132"
1365770160,51,55,51,55,"22,90434285","1197,431427","52,279667434"
1365770220,51,"59,98",51,55,"63,31299673","3437,2593137","54,289948214"
1365770280,55,"59,93",55,55,"66,33644118","3687,2617994","55,584257065"
1365770340,55,59,55,59,"23,08622209","1329,3771541","57,583139804"
1365770400,60,60,"58,98","58,98","14,35332395","849,64639235","59,195096224"
1365770460,56,58,"55,02","55,02","42,45086207","2408,7772223","56,74271628"
1365770520,"57,99",58,"57,99","57,99","2,63563637","152,85050482","57,993775834"
1365770580,58,"58,02",57,57,"30,70409504","1776,7799995","57,867851086"
1365770640,"56,98","56,98","56,98","56,98",2,"113,96","56,98"
1365770700,"56,99",57,55,57,"39,85916409","2248,6848707","56,415755877"
1365770760,"56,98","58,02","56,98","58,02","11,30019231","644,09315783","56,998424465"
1365770820,"58,5","58,5","58,02","58,5","19,15982076","1120,3695145","58,474947574"
1365770880,"58,97","58,99",55,"56,98","111,71614153","6439,8765395","57,644996071"
1365770940,"56,98","58,99","56,98","58,99","52,80308639","3038,5999998","57,545878614"
1365771000,"58,99",60,"58,99",60,"40,80943571","2440,4193756","59,800370505"
1365771060,62,68,62,68,"7,36580696","475,04058311","64,49267347"
1365771120,68,68,65,68,"48,76559671","3188,7280325","65,388885764"
1365771180,68,73,66,"71,89","37,07299727","2609,243932","70,381251157"
1365771240,"71,89",75,"71,89",72,"96,91567188","6977,3859547","71,994403169"
1365771300,"72,6",74,"72,5","73,89","35,06308936","2577,3011768","73,504680386"
1365771360,"73,97","73,97","71,98","71,98","51,85347924","3800,5776179","73,294553685"
1365771420,"71,98","71,98",64,64,"43,9821332","3031,8019081","68,932579834"
1365771480,64,66,64,66,"8,77605285","569,41514065","64,882829489"
1365771540,"69,99",74,"68,01",71,"24,83513343","1769,7217493","71,258797714"
1365771600,71,71,66,66,"28,76899071","1925,9767743","66,946275376"
1365771660,66,"66,1","64,5",65,"71,26460219","4674,5642974","65,594476834"
1365771720,"62,01","62,01",60,60,"82,15404724","4981,3092443","60,63376561"
1365771780,"59,99","62,01","59,99","59,99","27,53537114","1653,7649997","60,059658948"
1365771840,"59,99",60,"59,01","59,01",26,"1548,9937083","59,57668109"
1365771900,"59,01","61,97","59,01","61,97","14,82184013","897,00710073","60,519280525"
1365771960,"61,97",62,"61,97",62,"27,92037195","1730,2962691","61,972536476"
1365772020,62,"62,01",62,"62,01","37,64416065","2333,942774","62,000127875"
1365772080,"62,01","62,01","62,01","62,01","108,59565331","6734,0164618","62,01"
1365772140,65,68,65,68,"12,42722712","811,54199808","65,303546016"
1365772200,68,68,"62,01","62,01","31,44193892","2067,3152883","65,750248214"
1365772260,"62,01","67,99","62,01",64,"28,37031142","1818,08082","64,083921854"
1365772320,"67,99","67,99","62,09","62,09","2,50826277","168,39877974","67,137614828"
1365772380,"67,95","67,95","62,09","64,97","26,50825638","1680,6054068","63,399319167"
1365772440,"62,11","64,9","62,11","64,9","7,92328196","500,1593992","63,125280878"
1365772500,"64,87","64,87","64,87","64,87","2,36550024","153,45000057","64,87"
1365772560,"62,14","62,17","62,14","62,17","4,42","274,7188","62,153574661"
1365772620,"64,5","64,5","62,17",63,"35,41457875","2270,4783294","64,111402973"
1365772680,"63,97",65,"63,18","63,18","54,32181008","3488,3553468","64,216478458"
1365772740,"63,02","63,18",63,"63,17","21,31273425","1344,1075563","63,065937035"
1365772800,"63,15","63,17","62,12","62,12","9,94441542","623,99954246","62,748740484"
1365772860,"62,12","62,12",60,60,"9,51604338","583,56213758","61,324030827"
1365772920,59,"61,9",59,"61,9","20,22223196","1194,2022133","59,053927167"
1365772980,"61,9","61,9","61,9","61,9","0,91631664","56,720000016","61,9"
1365773040,"61,9","62,1","61,9",62,"9,92370109","615,26324097","61,999372552"
1365773100,"62,1","62,1","62,1","62,1","5,9747182","371,03000022","62,1"
1365773160,"62,1","62,1","60,9","60,9",4,"243,96","60,99"
1365773220,"60,9","62,03","60,9","61,12","8,60507129","527,08585591","61,252933084"
1365773280,62,62,"59,03","59,03","20,42084908","1239,4886773","60,697215501"
1365773340,"59,03",60,"59,01","59,01","8,40761986","496,68267294","59,075300883"
1365773400,59,"59,01",55,"59,01","46,37773259","2636,5091366","56,848599302"
1365773460,"59,98","59,98","59,95","59,95","4,03351533","241,83999929","59,957624925"
1365773520,"59,95","59,95","59,95","59,95",3,"179,85","59,95"
1365773580,62,62,62,62,"0,35145161","21,78999982",62
1365773640,"59,98","59,98","59,98","59,98",3033,"181,91934","59,98"
1365773700,"61,5","61,5","59,5","59,95","11,6217032","699,02266536","60,148039692"
1365773760,60,62,60,62,"22,64193548","1394,2211038","61,576940054"
1365773820,"61,9","62,11","60,01","60,01","25,0240775","1549,0737716","61,903331765"
1365773880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365773940,"62,1","62,1","60,02","62,1","6,119674","373,90423766","61,098718275"
1365774000,"62,1","62,11","62,1","62,11",5,"310,53538133","62,107076266"
1365774060,"62,11","62,11",61,61,"25,59928787","1577,6000007","61,626714335"
1365774120,61,61,"59,95","59,95","12,55821726","760,24339745","60,537525487"
1365774180,"59,95","60,94","59,95","60,94","7,61371842","457,05000051","60,029800854"
1365774240,"60,94","60,94","60,94","60,94","5,13925403","313,18614059","60,94"
1365774300,"60,94","60,94","60,94","60,94","0,43869149","26,733859401","60,94"
1365774360,"60,94",61,"60,94",61,"9,84966213","600,70984292","60,987862831"
1365774420,61,61,"60,95",61,"8,86548478","540,46629734","60,962971654"
1365774480,61,61,61,61,"0,66606555","40,62999855",61
1365774540,61,"61,25",61,61,"5,31647566","324,42901526","61,023323722"
1365774600,"61,25","61,25","61,25","61,25",1704,"104,37","61,25"
